author,comment,time,votes,clean,clean_nostop
@SesayMilton-l8v,Congratulations that deniesiel is back,6 months ago,1,congratulations that deniesiel is back,congratulations deniesiel back
@collins8153,Who else is here 2045,6 months ago (edited),2,who else is here 2045,else 2045
@paulmatarasonofsoil7453,Dawa ya ndovu ❤❤❤❤kijana soft,6 months ago,1,dawa ya ndovu kijana soft,dawa ya ndovu kijana soft
@Afodis,2025 ?😂,6 months ago,0,2025,2025
@uzomaugoeze7367,i love you so very much sussing ❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😢😢😮😮😮😮😮😮😅😅😅😅😅😅😊😊😊😊😊,6 months ago,0,i love you so very much sussing,love much sussing
@Nagakairi-e7d,Anyone 2025? 😂,6 months ago,12,anyone 2025,anyone 2025
@IniOrimogunje-gw5et,Enlisonday ashay onegay azycray (it's in pig Latin 🐖 ♥️ btw),6 months ago (edited),0,enlisonday ashay onegay azycray it's in pig latin btw,enlisonday ashay onegay azycray pig latin btw
@AxroravibesDukuly-tv9wb,First Kanye west now trump  denilson whyyyy😂😂😂😂😊,7 months ago,7,first kanye west now trump denilson whyyyy,first kanye west trump denilson whyyyy
@nadiatou313,Every time that i want to laught i come watch this video it make my day😅😅😅😅😅put me down right now😂😂😂😂,7 months ago,0,every time that i want to laught i come watch this video it make my dayput me down right now,every time want laught come watch video make dayput right
@MAKAUAIAKA,Who else came after watching kanye west style,7 months ago,0,who else came after watching kanye west style,else came watching kanye west style
@thenjiwencube4093,😂 i can't get tired of this😂Trump baby,7 months ago,0,i can't get tired of thistrump baby,can't get tired thistrump baby
@mastergenius6548,0:22 o my nigma 😀,7 months ago,31,0 22 o my nigma,22 nigma
@ApolotJosephine-d3n,Hahahaha Emmanuelle 😂😂,7 months ago,0,hahahaha emmanuelle,hahahaha emmanuelle
@TBOYSOCCER,MEN ....... HOW MANY?????,7 months ago,0,men how many,men many
@MAKAUAIAKA,Who also came back from watching kanye west,7 months ago,1,who also came back from watching kanye west,also came back watching kanye west
@yrase8544,Me!!!! I love watching old mark angel videos they never  fail to make me me laugh 😆,3 weeks ago,0,me i love watching old mark angel videos they never fail to make me me laugh,love watching old mark angel videos never fail make laugh
@Ablockin4eva,Frl 😂😂😂😂😂😂😂,3 months ago,3,frl,frl
@harrybanda4791,I had the hardest part believing k brown is black and denilson is brown😂,7 months ago,0,i had the hardest part believing k brown is black and denilson is brown,hardest part believing brown black denilson brown
@dusty_wayle,I'll call the po po😂😂😂😂😂,7 months ago,0,i'll call the po po,call po po
@wiliangbounewmai7155,Not only 2024... We r still watching even in 2025,7 months ago,0,not only 2024 we r still watching even in 2025,2024 still watching even 2025
@Fopp217,0:22 mark didn’t look happy and “my n!gg@ mark!”,7 months ago,0,0 22 mark didn t look happy and my n gg mark,22 mark look happy gg mark
@HraopouM,Anyone in 2025? 😮😊,7 months ago,2,anyone in 2025,anyone 2025
@T0GA-H1MIK0-1,Who is watching this is 2030,7 months ago,0,who is watching this is 2030,watching 2030
@MaduwaSinera-r3f8x,Cute you 😂😂😂😂,7 months ago,0,cute you,cute
@inimbechainim8278,Anyone watching in 2025?,7 months ago,0,anyone watching in 2025,anyone watching 2025
@angelangonyani9474,he said oh my nigga Mark,8 months ago,0,he said oh my nigga mark,said oh nigga mark
@FredericaAdjei-x9r,denilson you dyed your hair and beards like'' TRUMP'',8 months ago,0,denilson you dyed your hair and beards like'' trump'',denilson dyed hair beards like'' trump''
@nancyokpodjah1947,Me i am form  2025,8 months ago,0,me i am form 2025,form 2025
@JeffersorIraborstudios,😂😂😂😂😂😂😂😂una wan kill me with laugh 😂😂😂😂😂😂,8 months ago,0,una wan kill me with laugh,una wan kill laugh
@kotswane2661,😂😂😂😂😂😂😂😂,8 months ago,0,,
@KayleeReid-h2g,So. Funny 🤣🤣🤣🤣🤣🤣😂🤣😂🤣😂😂😂😂😂😂😂,8 months ago,0,so funny,funny
@CharityChamunorwa-i2w,Who is this 😂😂😂😂😂😂😂😂😂😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝,8 months ago,1,who is this,
@MaduwaSinera-r3f8x,😂😂😂😂 6:28 put me down right now,8 months ago,2,6 28 put me down right now,28 put right
@mosesireyomi4186,This is why Denilson left Mark Angel comedy.,8 months ago,0,this is why denilson left mark angel comedy,denilson left mark angel comedy
@CristianoJames890,Trump 😂😂😂😂,8 months ago,1,trump,trump
@simmyoption9997,Who's else here 17-02-2025,8 months ago,0,who's else here 17 02 2025,who's else 17 02 2025
@janemusanduro6135,😂😂,8 months ago,0,,
@FathilaNamugenyi,Trump 00000,8 months ago,0,trump 00000,trump 00000
@RubyKessewaBrakoWiafe,Hahaha 🤣🤣🤣🤣 denilson came back from the United States ❤❤❤,8 months ago,3,hahaha denilson came back from the united states,hahaha denilson came back united states
@mgouzkilongofficial6410,Anyone watching in 2080,8 months ago,0,anyone watching in 2080,anyone watching 2080
@MiguelAlberto425,Me,9 months ago,1,me,
@azichristian5432,Good old days,9 months ago,2,good old days,good old days
@repostchannel6864,Anyone watching in 2025?,9 months ago,4,anyone watching in 2025,anyone watching 2025
@repostchannel6864,Anyone watching in 2025?,9 months ago,2,anyone watching in 2025,anyone watching 2025
@repostchannel6864,Anyone watching in 2025?,9 months ago,1,anyone watching in 2025,anyone watching 2025
@tash101,Who is here in 2025❤,9 months ago,2,who is here in 2025,2025
@Darkdgamerz,Abeg who here in 2025😂,9 months ago,0,abeg who here in 2025,abeg 2025
@ElenaRodriguez-s3d,My nigga man 😂😂😂😂😂 that was so funny,9 months ago,2,my nigga man that was so funny,nigga man funny
@ryan_12345-c,Who is in 2025?🎉🎉,9 months ago,0,who is in 2025,2025
@MarteyGodwin,Who is in 2029,9 months ago,0,who is in 2029,2029
@zawadichari8004,Who is here in 2025,9 months ago,1,who is here in 2025,2025
@Your_Service2,I miss your joke!,9 months ago,0,i miss your joke,miss joke
@roseese7153,Who is watching in 2025 🎉🎉,9 months ago,2,who is watching in 2025,watching 2025
@aishatoufranzoni,Denilson  people will start thinking that we are doing Wizkid🤣🤣🤣🤣,9 months ago (edited),0,denilson people will start thinking that we are doing wizkid,denilson people start thinking wizkid
@Mikaufiltered,Who else is Here in 2025,9 months ago,281,who else is here in 2025,else 2025
@Brhane6888,It’s 2025 still something is smelling 😂😂,9 months ago,3,it s 2025 still something is smelling,2025 still something smelling
@tokpisin,Who is watching in 2025 now😁,9 months ago,18,who is watching in 2025 now,watching 2025
@suleimanmohamoud395,I am 😂,8 months ago,0,i am,
@celloudioherediallo1659,I am here,8 months ago,0,i am here,
@KaramulahiMhiji-kz6dv,Me,6 months ago,1,me,
@SandileNgcobo-js5cf,Im here😂,8 months ago,0,im here,im
@AlexBuongthanglien,Me too 😂,8 months ago,2,me too,
@CristianoJames890,Me from indian 🇮🇳😂😂😂,8 months ago,0,me from indian,indian
@Grr-y3h,Me❤❤🇬🇭🇬🇭,8 months ago,1,me,
@JeffersorIraborstudios,Me 🇳🇬,8 months ago,1,me,
@alexandraappiagyei3695,Me,7 months ago,0,me,
@lyrics3302,😂,7 months ago,0,,
@giovanniadjayi-j3j,me,7 months ago,0,me,
@thenjiwencube4093,We trending baby😂,7 months ago,0,we trending baby,trending baby
@kaynids1,I am here too dude,6 months ago,0,i am here too dude,dude
@ig_kidooxs,Meh 🤚🏻,6 months ago,0,meh,meh
@thabangmncwabe3506,Me😂😂😂😂😂😂😂😂😂😂,6 months ago (edited),0,me,
@rossieboakye8943,Me me 0,5 months ago,0,me me 0,
@israabdulkadir772,Meeee😂😂😂😂😂😂,5 months ago,0,meeee,meeee
@ngyuxiang9232,Me 🚡🚡🚡,5 months ago,0,me,
@EgbuabaCharity,Yh  heee,5 months ago,0,yh heee,yh heee
@varaddongarkar4427,Me..,5 months ago,0,me,
@alvinjoseph8724,We deh,4 months ago,0,we deh,deh
@EmmanuelKiyindou,"Me!
I got banned from watching it but I’m unbanned",4 months ago,0,me i got banned from watching it but i m unbanned,got banned watching unbanned
@tsulinsoh4228,😂😂😂,4 months ago,0,,
@NaomiBochere,And some people are complaining about her age😂,3 months ago,0,and some people are complaining about her age,people complaining age
@Larcher-u5m,Me,3 months ago,0,me,
@KaylieMarcelin,Mee 😂,2 months ago (edited),0,mee,mee
@jsabrownskinvillann,Meteeeee,1 month ago,0,meteeeee,meteeeee
@yrase8544,Me!!!! 😊 I love  watching  old mark angel videos they never fail to make I laugh after years I still love mark angel videos,3 weeks ago,0,me i love watching old mark angel videos they never fail to make i laugh after years i still love mark angel videos,love watching old mark angel videos never fail make laugh years still love mark angel videos
@MusaJonesJR,🖐️,2 weeks ago,0,,
@ronin7176,Your father,3 days ago,0,your father,father
@atonggai3946,Mee,3 days ago,1,mee,mee
@stunnabank,😂😂,9 months ago,0,,
@villageois-n9d,Shu...,7 months ago,0,shu,shu
@Aisha-f5t,Mi,4 months ago,0,mi,mi
@LinazoLugalo,Who else is here in 2025,10 months ago,0,who else is here in 2025,else 2025
@Blessed-Infinitely,Anyone here in….. 2025?!!! 😊,10 months ago (edited),3,anyone here in 2025,anyone 2025
@primeRedx-11,2025 anyone 😂,10 months ago,0,2025 anyone,2025 anyone
@majorking1233,Who else is here in 2025,10 months ago,1,who else is here in 2025,else 2025
@skylar426,Anyone in 2025🎉,10 months ago,7,anyone in 2025,anyone 2025
@AyerlaWellington,Anyone watching this in 2024 😂🖐,10 months ago,0,anyone watching this in 2024,anyone watching 2024
@wesleytibihenda5094,2024 still laughing,10 months ago,0,2024 still laughing,2024 still laughing
@TamariMufabiro-xb5ql,Great Video Mark Angel. 😊❤️,10 months ago,1,great video mark angel,great video mark angel
@florencejuma248,7:12,10 months ago,0,7 12,12
@humphreyngari-y3o,oh my nigga mark what,10 months ago,1,oh my nigga mark what,oh nigga mark
@florencejuma248,‘’Happy new mouth’’ 😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,10 months ago,0,happy new mouth,happy new mouth
@djfyharedz3541,Watching from Jamaica 🇯🇲 from 2020 it's a joy Watching 😂😂😂😂😂😂,10 months ago,0,watching from jamaica from 2020 it's a joy watching,watching jamaica 2020 joy watching
@abbymax82,me,10 months ago,0,me,
@FADEDKING,"December 11 2024 
Im watching this again after 5 years",10 months ago (edited),0,december 11 2024 im watching this again after 5 years,december 11 2024 im watching years
@dikeleditladi3993,He said the n-word 0:20,10 months ago,0,he said the n word 0 20,said word 20
@ITZCLODIRAROBLOXS,👇🏽2024,10 months ago,2,2024,2024
@juljay93,It was great Denilson to have been in mark angel comedy,10 months ago,6,it was great denilson to have been in mark angel comedy,great denilson mark angel comedy
@MIOR_DA_WAVES_KINGPIN,Who's here un 2030,11 months ago,0,who's here un 2030,who's un 2030
@trustjesus-b4k,You know what you shu!!!!,11 months ago,0,you know what you shu,know shu
@utlwanangramosala8428,A unique experience in case you have any problem with this one will be the first line of work and you sthandwa sam zokubona kusasa zophuma manje serious about meeting up again in a phela wena 🎉,11 months ago,0,a unique experience in case you have any problem with this one will be the first line of work and you sthandwa sam zokubona kusasa zophuma manje serious about meeting up again in a phela wena,unique experience case problem one first line work sthandwa sam zokubona kusasa zophuma manje serious meeting phela wena
@parveshsingh8849,Yes ! I'm.   From India.,9 months ago,0,yes i'm from india,yes india
@Marsh-b3e,I am-,9 months ago,0,i am,
@Egene4life,Me,9 months ago,1,me,
@shabbirshaikh5583,Yes I'm also enjoying on mark angel video's 2025,9 months ago,0,yes i'm also enjoying on mark angel video's 2025,yes also enjoying mark angel video's 2025
@heldermaocha2803,NOBODY😂😂😂😂😂😂,10 months ago,0,nobody,nobody
@AngelAdedeji,5:35,11 months ago,0,5 35,35
@BallahKollie-p7k,I'm here😅😅,11 months ago,0,i'm here,
@nelson0956,Who’s here after Trump won the election 😂 ?,11 months ago,40,who s here after trump won the election,trump election
@Suzepovs,N  word 😅,11 months ago,0,n word,word
@nonhlanhlamashabane2440,You make me laugh to much 🤣 😂😂😂😂😂😂😂😂😂😂,11 months ago,1,you make me laugh to much,make laugh much
@RashNash-f6i,Everything really is smelling 😂,11 months ago,1,everything really is smelling,everything really smelling
@RandomGuy-xb4ez,You guys have to do a part 2 now 😂,11 months ago,1,you guys have to do a part 2 now,guys part
@nadiatou313,😂😂😂😂😂😂😂,11 months ago,0,,
@jaheim8827,a lot better than this,11 months ago,0,a lot better than this,lot better
@IsomaIsoken,Denilson always do one thing to put himself in trouble the guy is very funny,1 year ago,0,denilson always do one thing to put himself in trouble the guy is very funny,denilson always one thing put trouble guy funny
@OfentseMotsepe-z4o,😅😅😅,1 year ago,0,,
@ClarenceNya,Me,1 year ago,0,me,
@BadEvil-y1r,I wish they never part ways,1 year ago,0,i wish they never part ways,wish never part ways
@jeraigwapa9298,Anyone here watching 2024 for old videos of mark angel❤🇵🇭,1 year ago,0,anyone here watching 2024 for old videos of mark angel,anyone watching 2024 old videos mark angel
@wesleytibihenda5094,Little girl what's your name again?,1 year ago,0,little girl what's your name again,little girl what's name
@ATTSSYF,Denilson! Great actor! You all are good!😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1 year ago,0,denilson great actor you all are good,denilson great actor good
@lemxminecraftandmemes4721,W,1 year ago,0,w,
@ZainuddinJhens-ru8gb,Biar2 ara bang ku like this😁😁😁😁,1 year ago,0,biar2 ara bang ku like this,biar2 ara bang ku like
@JoshuaWafula-t2e,My favourite denilson,1 year ago,0,my favourite denilson,favourite denilson
@ShaneyzTuru,"Shu shu men,shu,i want to be trump, imma use that😂😂😂",1 year ago,1,shu shu men shu i want to be trump imma use that,shu shu men shu want trump imma use
@EmilyMagego,am here 😂,10 months ago,0,am here,
@Makaylor,😂😂😂,8 months ago,0,,
@peninahkavisa3666,Shu shu men 😂😂 2024 I'm back here Denilson never disappoints,1 year ago,0,shu shu men 2024 i'm back here denilson never disappoints,shu shu men 2024 back denilson never disappoints
@penetamostivane8009,Is there anyone here in 2024?,1 year ago,1,is there anyone here in 2024,anyone 2024
@Ricklet0ons,This aged very well,1 year ago,1,this aged very well,aged well
@KhoabaneNkome,Me,1 year ago,0,me,
@wangwarsankhil5321,Am here in 2024 September,1 year ago,1,am here in 2024 september,2024 september
@piusconnection,ooooohhhh,1 year ago,0,ooooohhhh,ooooohhhh
@alphastoure4841,"0:58 ""you guys still live here""😂",1 year ago,0,0 58 you guys still live here,58 guys still live
@tekkzseneator,is ugarte deal done,1 year ago,0,is ugarte deal done,ugarte deal done
@farxiyoyuusufhoobiyahakulu9043,He.  Said.  Your.  Room.   Is.  Dead😂😂😂😂😂😂,1 year ago,1,he said your room is dead,said room dead
@shimasopa1843,Mark angel is a bad guy..,1 year ago,0,mark angel is a bad guy,mark angel bad guy
@hamprebugoydeguzman7523,Now.,1 year ago,0,now,
@AsingwirePeace,I love your videos so much I’m mother,1 year ago,0,i love your videos so much i m mother,love videos much mother
@Abdul-AzizKolley,What the hell,1 year ago,0,what the hell,hell
@musaadamu2840,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024
@Mzee_Bughaa,Shuuu men 😂,1 year ago,0,shuuu men,shuuu men
@constructivetv6436,Definitely he mad for sure when he takes six of those,1 year ago,0,definitely he mad for sure when he takes six of those,definitely mad sure takes six
@constructivetv6436,So how come he come back and still live there?😂😂,1 year ago (edited),0,so how come he come back and still live there,come come back still live
@BaboucrrSarr,2024,1 year ago,0,2024,2024
@adesege1025,This is when Denilson used to come back anytime he needs 100k. Denilson na hustler while Mark is a confirm reaper.,1 year ago,0,this is when denilson used to come back anytime he needs 100k denilson na hustler while mark is a confirm reaper,denilson used come back anytime needs 100k denilson na hustler mark confirm reaper
@vida7993,So K. Brown also left Mark Angel comedy.,1 year ago,1,so k brown also left mark angel comedy,brown also left mark angel comedy
@TinoMtde,my friend keep quiet,1 year ago,1,my friend keep quiet,friend keep quiet
@TTskits,No,1 year ago,0,no,
@FaustinaAppoh-i1b,I think this guy has been complaining about the comedy not paying them in more of their videos,1 year ago,1,i think this guy has been complaining about the comedy not paying them in more of their videos,think guy complaining comedy paying videos
@Ericxhostar,Who is here in 2024,1 year ago,1,who is here in 2024,2024
@SamsonEgba-y3m,Anybody here 2024?,1 year ago,0,anybody here 2024,anybody 2024
@iam_adedayo,"If what Denilson said is true about Mark Angel, then Mark is really a ripper  💯",1 year ago,0,if what denilson said is true about mark angel then mark is really a ripper,denilson said true mark angel mark really ripper
@FavyBea,Omo 😢😢 see their views as of then,1 year ago,1,omo see their views as of then,omo see views
@Jiggy_CFR,"""Did comedy stop giving you guys money""?

And Mark smiled, knowing that in real life, Denilson is the one who comedy is actually not giving money🤣🤣🤣",1 year ago (edited),20,did comedy stop giving you guys money and mark smiled knowing that in real life denilson is the one who comedy is actually not giving money,comedy stop giving guys money mark smiled knowing real life denilson one comedy actually giving money
@SabiGirlDrama,Team 2024 but true true nor be all watin delnison said na true 😂😂😅😅😅,1 year ago,0,team 2024 but true true nor be all watin delnison said na true,team 2024 true true watin delnison said na true
@Ogyoung1,😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,
@attagbozo,Mark Why u alone chop all the money?,1 year ago,2,mark why u alone chop all the money,mark alone chop money
@GabrielObiabo,Who here to watch TB after Honest bunch podcast,1 year ago,4,who here to watch tb after honest bunch podcast,watch tb honest bunch podcast
@Tonycantana,Omo this no be comedy o na real life,1 year ago,2,omo this no be comedy o na real life,omo comedy na real life
@wabsonwabson9358,This is hillarious! 😂😂😂,1 year ago (edited),1,this is hillarious,hillarious
@realiable,"Wish denni is back on 2024 .. markoooooooooo please bring him  back , he is goooodoooo n deserve better.. support him back please..",1 year ago,1,wish denni is back on 2024 markoooooooooo please bring him back he is goooodoooo n deserve better support him back please,wish denni back 2024 markoooooooooo please bring back goooodoooo deserve better support back please
@FrancisCauthen,He's probably not,1 year ago,0,he's probably not,probably
@FrancisCauthen,That girl is always up to something,1 year ago,0,that girl is always up to something,girl always something
@FrancisCauthen,Well why are you doing back there,1 year ago,0,well why are you doing back there,well back
@FrancisCauthen,He's sounds like he's gay,1 year ago,0,he's sounds like he's gay,sounds like gay
@WhollyShadreck-xb2nx,😅😅😅😂😂😂,1 year ago,1,,
@KaileeVictorin,Me,1 year ago,2,me,
@AaronMwiinga-jl1ew,😂😂😂😂,1 year ago,2,,
@mammaman8400,Denison was acting from his pain😂😂,1 year ago,6,denison was acting from his pain,denison acting pain
@Mzee_Bughaa,😂😂the line ate,1 year ago,2,the line ate,line ate
@Jiggy_CFR, @Mzee_Bughaa  Thank you 😂,1 year ago,1,mzee_bughaa thank you,mzee_bughaa thank
@Jiggy_CFR, @mammaman8400  Swears🤣,1 year ago,1,mammaman8400 swears,mammaman8400 swears
@Mzee_Bughaa, @Jiggy_CFR  😂😂🗿 welcome,1 year ago,2,jiggy_cfr welcome,jiggy_cfr welcome
@joshuakepler,Normally. He will exaggerate something for theatrics but part of what he said is the truth,1 year ago,0,normally he will exaggerate something for theatrics but part of what he said is the truth,normally exaggerate something theatrics part said truth
@KurdemAnderw-rz9cf,Meee😂😮,1 year ago,2,meee,meee
@Stephanie-tj8sn,This is still my fav mark angel vid😭😭,1 year ago,1,this is still my fav mark angel vid,still fav mark angel vid
@Yfndom15,You guys backward 😂😂 dis is trump😂😂,1 year ago,0,you guys backward dis is trump,guys backward dis trump
@surakatakandeh8248,This is Trump men 😂😂😂,1 year ago (edited),1,this is trump men,trump men
@sarawatswife,"It's 2024 and I'm still laughing at ""oh my nigga Mark"" 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1 year ago,15,it's 2024 and i'm still laughing at oh my nigga mark,2024 still laughing oh nigga mark
@Zaza-o1d,Hi. How are you doing today,1 year ago,0,hi how are you doing today,hi today
@dmvdemba2999,🤣🤣,1 year ago,0,,
@SamadAdebayo-db7ov,I really miss denilson too ..did you guys fight 😮😮why are you guys not been together again,1 year ago,1,i really miss denilson too did you guys fight why are you guys not been together again,really miss denilson guys fight guys together
@SamadAdebayo-db7ov,Who’s here again in 2024 😂😂😂it been a long time ….,1 year ago,1,who s here again in 2024 it been a long time,2024 long time
@johnizoboy,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024
@Khaipieimi,Me i will love to watch mark and his teams forever i really miss them they are the best of best,1 year ago,0,me i will love to watch mark and his teams forever i really miss them they are the best of best,love watch mark teams forever really miss best best
@ceedana,"OMG 
😁😁😁😁😁😂",1 year ago,0,omg,omg
@adamudennis8898,I love that they mention Ghana 🇬🇭 In some videos i am from Ghana🇬🇭🇬🇭,1 year ago,0,i love that they mention ghana in some videos i am from ghana,love mention ghana videos ghana
@JayDrop-gz3gp,Secret with Emmanuela😂😂😂😂,1 year ago,0,secret with emmanuela,secret emmanuela
@mariabrusch3354,Anyone here in 2024😂❤,1 year ago,1,anyone here in 2024,anyone 2024
@FrancisCauthen,U forgot where you come from,1 year ago,0,u forgot where you come from,forgot come
@FrancisCauthen,Why is he back there probably don't have any were to stay,1 year ago,1,why is he back there probably don't have any were to stay,back probably stay
@PalesaMatene,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,
@RockyRajkumar-yg1ee,Trump has killed me oh...😂😂😂,1 year ago,0,trump has killed me oh,trump killed oh
@alexandrelobato2071,I miss Denilson with them😢,1 year ago,2,i miss denilson with them,miss denilson
@Offical.mm200,Ye,1 year ago,1,ye,ye
@Ablockin4eva,The fact he had audicity to say that is outrageous,3 months ago,1,the fact he had audicity to say that is outrageous,fact audicity say outrageous
@Ruby214-yt3wn,😢Me,1 year ago,1,me,
@TemitopeDimple,You are doing Wizkid,1 year ago,0,you are doing wizkid,wizkid
@Rougevestore,who else is here after Denilson's live video about Maek Angel?,1 year ago,36,who else is here after denilson's live video about maek angel,else denilson's live video maek angel
@YgmlinYgmlin,😂😂😂😂,1 year ago,0,,
@thomassevou7561,It's 2024 and we miss Denilson igwe ❤,1 year ago,0,it's 2024 and we miss denilson igwe,2024 miss denilson igwe
@sheesh7684,N word,1 year ago,0,n word,word
@danilloconnery2841,Trump? You mean Donald Trump? Unless you will get bomb by smelling him like dustbin🤣🤣,1 year ago,0,trump you mean donald trump unless you will get bomb by smelling him like dustbin,trump mean donald trump unless get bomb smelling like dustbin
@sokunven4465,2024 i'm still watching old video😂,1 year ago,1,2024 i'm still watching old video,2024 still watching old video
@MEPON-G11,This type of classic video we missed...😢😢,1 year ago,0,this type of classic video we missed,type classic video missed
@ndlandlamukowanga,😂😂😂😂😂😂😂,1 year ago,0,,
