author,comment,time,votes,clean,clean_nostop,polarity,sentiment
@ig_kidooxs,Meh 🤚🏻,6 months ago,0,meh,meh,0.0,neutral
@thabangmncwabe3506,Me😂😂😂😂😂😂😂😂😂😂,6 months ago (edited),0,me,,0.0,neutral
@rossieboakye8943,Me me 0,5 months ago,0,me me 0,,0.0,neutral
@israabdulkadir772,Meeee😂😂😂😂😂😂,5 months ago,0,meeee,meeee,0.0,neutral
@ngyuxiang9232,Me 🚡🚡🚡,5 months ago,0,me,,0.0,neutral
@EgbuabaCharity,Yh  heee,5 months ago,0,yh heee,yh heee,0.0,neutral
@varaddongarkar4427,Me..,5 months ago,0,me,,0.0,neutral
@alvinjoseph8724,We deh,4 months ago,0,we deh,deh,0.0,neutral
@EmmanuelKiyindou,"Me!
I got banned from watching it but I’m unbanned",4 months ago,0,me i got banned from watching it but i m unbanned,got banned watching unbanned,0.0,neutral
@tsulinsoh4228,😂😂😂,4 months ago,0,,,0.0,neutral
@NaomiBochere,And some people are complaining about her age😂,3 months ago,0,and some people are complaining about her age,people complaining age,0.0,neutral
@Larcher-u5m,Me,3 months ago,0,me,,0.0,neutral
@KaylieMarcelin,Mee 😂,2 months ago (edited),0,mee,mee,0.0,neutral
@jsabrownskinvillann,Meteeeee,1 month ago,0,meteeeee,meteeeee,0.0,neutral
@yrase8544,Me!!!! 😊 I love  watching  old mark angel videos they never fail to make I laugh after years I still love mark angel videos,3 weeks ago,0,me i love watching old mark angel videos they never fail to make i laugh after years i still love mark angel videos,love watching old mark angel videos never fail make laugh years still love mark angel videos,0.32999999999999996,positive
@MusaJonesJR,🖐️,2 weeks ago,0,,,0.0,neutral
@ronin7176,Your father,3 days ago,0,your father,father,0.0,neutral
@atonggai3946,Mee,3 days ago,1,mee,mee,0.0,neutral
@stunnabank,😂😂,9 months ago,0,,,0.0,neutral
@villageois-n9d,Shu...,7 months ago,0,shu,shu,0.0,neutral
@Aisha-f5t,Mi,4 months ago,0,mi,mi,0.0,neutral
@LinazoLugalo,Who else is here in 2025,10 months ago,0,who else is here in 2025,else 2025,0.0,neutral
@Blessed-Infinitely,Anyone here in….. 2025?!!! 😊,10 months ago (edited),3,anyone here in 2025,anyone 2025,0.0,neutral
@primeRedx-11,2025 anyone 😂,10 months ago,0,2025 anyone,2025 anyone,0.0,neutral
@majorking1233,Who else is here in 2025,10 months ago,1,who else is here in 2025,else 2025,0.0,neutral
@skylar426,Anyone in 2025🎉,10 months ago,7,anyone in 2025,anyone 2025,0.0,neutral
@AyerlaWellington,Anyone watching this in 2024 😂🖐,10 months ago,0,anyone watching this in 2024,anyone watching 2024,0.0,neutral
@wesleytibihenda5094,2024 still laughing,10 months ago,0,2024 still laughing,2024 still laughing,0.0,neutral
@TamariMufabiro-xb5ql,Great Video Mark Angel. 😊❤️,10 months ago,1,great video mark angel,great video mark angel,0.8,positive
@florencejuma248,7:12,10 months ago,0,7 12,12,0.0,neutral
@humphreyngari-y3o,oh my nigga mark what,10 months ago,1,oh my nigga mark what,oh nigga mark,0.0,neutral
@florencejuma248,‘’Happy new mouth’’ 😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,10 months ago,0,happy new mouth,happy new mouth,0.4681818181818182,positive
@djfyharedz3541,Watching from Jamaica 🇯🇲 from 2020 it's a joy Watching 😂😂😂😂😂😂,10 months ago,0,watching from jamaica from 2020 it's a joy watching,watching jamaica 2020 joy watching,0.8,positive
@abbymax82,me,10 months ago,0,me,,0.0,neutral
@FADEDKING,"December 11 2024 
Im watching this again after 5 years",10 months ago (edited),0,december 11 2024 im watching this again after 5 years,december 11 2024 im watching years,0.0,neutral
@dikeleditladi3993,He said the n-word 0:20,10 months ago,0,he said the n word 0 20,said word 20,0.0,neutral
@ITZCLODIRAROBLOXS,👇🏽2024,10 months ago,2,2024,2024,0.0,neutral
@juljay93,It was great Denilson to have been in mark angel comedy,10 months ago,6,it was great denilson to have been in mark angel comedy,great denilson mark angel comedy,0.8,positive
@MIOR_DA_WAVES_KINGPIN,Who's here un 2030,11 months ago,0,who's here un 2030,who's un 2030,0.0,neutral
@trustjesus-b4k,You know what you shu!!!!,11 months ago,0,you know what you shu,know shu,0.0,neutral
@utlwanangramosala8428,A unique experience in case you have any problem with this one will be the first line of work and you sthandwa sam zokubona kusasa zophuma manje serious about meeting up again in a phela wena 🎉,11 months ago,0,a unique experience in case you have any problem with this one will be the first line of work and you sthandwa sam zokubona kusasa zophuma manje serious about meeting up again in a phela wena,unique experience case problem one first line work sthandwa sam zokubona kusasa zophuma manje serious meeting phela wena,0.09722222222222222,neutral
@parveshsingh8849,Yes ! I'm.   From India.,9 months ago,0,yes i'm from india,yes india,0.0,neutral
@Marsh-b3e,I am-,9 months ago,0,i am,,0.0,neutral
@Egene4life,Me,9 months ago,1,me,,0.0,neutral
@shabbirshaikh5583,Yes I'm also enjoying on mark angel video's 2025,9 months ago,0,yes i'm also enjoying on mark angel video's 2025,yes also enjoying mark angel video's 2025,0.5,positive
@heldermaocha2803,NOBODY😂😂😂😂😂😂,10 months ago,0,nobody,nobody,0.0,neutral
@AngelAdedeji,5:35,11 months ago,0,5 35,35,0.0,neutral
@BallahKollie-p7k,I'm here😅😅,11 months ago,0,i'm here,,0.0,neutral
@nelson0956,Who’s here after Trump won the election 😂 ?,11 months ago,40,who s here after trump won the election,trump election,0.0,neutral
@Suzepovs,N  word 😅,11 months ago,0,n word,word,0.0,neutral
@nonhlanhlamashabane2440,You make me laugh to much 🤣 😂😂😂😂😂😂😂😂😂😂,11 months ago,1,you make me laugh to much,make laugh much,0.25,positive
@RashNash-f6i,Everything really is smelling 😂,11 months ago,1,everything really is smelling,everything really smelling,0.2,positive
@RandomGuy-xb4ez,You guys have to do a part 2 now 😂,11 months ago,1,you guys have to do a part 2 now,guys part,0.0,neutral
@nadiatou313,😂😂😂😂😂😂😂,11 months ago,0,,,0.0,neutral
@jaheim8827,a lot better than this,11 months ago,0,a lot better than this,lot better,0.5,positive
@IsomaIsoken,Denilson always do one thing to put himself in trouble the guy is very funny,1 year ago,0,denilson always do one thing to put himself in trouble the guy is very funny,denilson always one thing put trouble guy funny,0.0625,neutral
@OfentseMotsepe-z4o,😅😅😅,1 year ago,0,,,0.0,neutral
@ClarenceNya,Me,1 year ago,0,me,,0.0,neutral
@BadEvil-y1r,I wish they never part ways,1 year ago,0,i wish they never part ways,wish never part ways,0.0,neutral
@jeraigwapa9298,Anyone here watching 2024 for old videos of mark angel❤🇵🇭,1 year ago,0,anyone here watching 2024 for old videos of mark angel,anyone watching 2024 old videos mark angel,0.1,neutral
@wesleytibihenda5094,Little girl what's your name again?,1 year ago,0,little girl what's your name again,little girl what's name,-0.1875,negative
@ATTSSYF,Denilson! Great actor! You all are good!😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1 year ago,0,denilson great actor you all are good,denilson great actor good,0.75,positive
@lemxminecraftandmemes4721,W,1 year ago,0,w,,0.0,neutral
@ZainuddinJhens-ru8gb,Biar2 ara bang ku like this😁😁😁😁,1 year ago,0,biar2 ara bang ku like this,biar2 ara bang ku like,0.0,neutral
@JoshuaWafula-t2e,My favourite denilson,1 year ago,0,my favourite denilson,favourite denilson,0.0,neutral
@ShaneyzTuru,"Shu shu men,shu,i want to be trump, imma use that😂😂😂",1 year ago,1,shu shu men shu i want to be trump imma use that,shu shu men shu want trump imma use,0.0,neutral
@EmilyMagego,am here 😂,10 months ago,0,am here,,0.0,neutral
@Makaylor,😂😂😂,8 months ago,0,,,0.0,neutral
@peninahkavisa3666,Shu shu men 😂😂 2024 I'm back here Denilson never disappoints,1 year ago,0,shu shu men 2024 i'm back here denilson never disappoints,shu shu men 2024 back denilson never disappoints,0.0,neutral
@penetamostivane8009,Is there anyone here in 2024?,1 year ago,1,is there anyone here in 2024,anyone 2024,0.0,neutral
@Ricklet0ons,This aged very well,1 year ago,1,this aged very well,aged well,0.05,neutral
@KhoabaneNkome,Me,1 year ago,0,me,,0.0,neutral
@wangwarsankhil5321,Am here in 2024 September,1 year ago,1,am here in 2024 september,2024 september,0.0,neutral
@piusconnection,ooooohhhh,1 year ago,0,ooooohhhh,ooooohhhh,0.0,neutral
@alphastoure4841,"0:58 ""you guys still live here""😂",1 year ago,0,0 58 you guys still live here,58 guys still live,0.13636363636363635,positive
@tekkzseneator,is ugarte deal done,1 year ago,0,is ugarte deal done,ugarte deal done,0.0,neutral
@farxiyoyuusufhoobiyahakulu9043,He.  Said.  Your.  Room.   Is.  Dead😂😂😂😂😂😂,1 year ago,1,he said your room is dead,said room dead,-0.2,negative
@shimasopa1843,Mark angel is a bad guy..,1 year ago,0,mark angel is a bad guy,mark angel bad guy,-0.6999999999999998,negative
@hamprebugoydeguzman7523,Now.,1 year ago,0,now,,0.0,neutral
@AsingwirePeace,I love your videos so much I’m mother,1 year ago,0,i love your videos so much i m mother,love videos much mother,0.35,positive
@Abdul-AzizKolley,What the hell,1 year ago,0,what the hell,hell,0.0,neutral
@musaadamu2840,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024,0.0,neutral
@Mzee_Bughaa,Shuuu men 😂,1 year ago,0,shuuu men,shuuu men,0.0,neutral
@constructivetv6436,Definitely he mad for sure when he takes six of those,1 year ago,0,definitely he mad for sure when he takes six of those,definitely mad sure takes six,-0.0625,neutral
@constructivetv6436,So how come he come back and still live there?😂😂,1 year ago (edited),0,so how come he come back and still live there,come come back still live,0.06818181818181818,neutral
@BaboucrrSarr,2024,1 year ago,0,2024,2024,0.0,neutral
@adesege1025,This is when Denilson used to come back anytime he needs 100k. Denilson na hustler while Mark is a confirm reaper.,1 year ago,0,this is when denilson used to come back anytime he needs 100k denilson na hustler while mark is a confirm reaper,denilson used come back anytime needs 100k denilson na hustler mark confirm reaper,0.0,neutral
@vida7993,So K. Brown also left Mark Angel comedy.,1 year ago,1,so k brown also left mark angel comedy,brown also left mark angel comedy,0.0,neutral
@TinoMtde,my friend keep quiet,1 year ago,1,my friend keep quiet,friend keep quiet,0.0,neutral
@TTskits,No,1 year ago,0,no,,0.0,neutral
@FaustinaAppoh-i1b,I think this guy has been complaining about the comedy not paying them in more of their videos,1 year ago,1,i think this guy has been complaining about the comedy not paying them in more of their videos,think guy complaining comedy paying videos,0.5,positive
@Ericxhostar,Who is here in 2024,1 year ago,1,who is here in 2024,2024,0.0,neutral
@SamsonEgba-y3m,Anybody here 2024?,1 year ago,0,anybody here 2024,anybody 2024,0.0,neutral
@iam_adedayo,"If what Denilson said is true about Mark Angel, then Mark is really a ripper  💯",1 year ago,0,if what denilson said is true about mark angel then mark is really a ripper,denilson said true mark angel mark really ripper,0.275,positive
@FavyBea,Omo 😢😢 see their views as of then,1 year ago,1,omo see their views as of then,omo see views,0.0,neutral
@Jiggy_CFR,"""Did comedy stop giving you guys money""?

And Mark smiled, knowing that in real life, Denilson is the one who comedy is actually not giving money🤣🤣🤣",1 year ago (edited),20,did comedy stop giving you guys money and mark smiled knowing that in real life denilson is the one who comedy is actually not giving money,comedy stop giving guys money mark smiled knowing real life denilson one comedy actually giving money,0.26666666666666666,positive
@SabiGirlDrama,Team 2024 but true true nor be all watin delnison said na true 😂😂😅😅😅,1 year ago,0,team 2024 but true true nor be all watin delnison said na true,team 2024 true true watin delnison said na true,0.3499999999999999,positive
@Ogyoung1,😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,,0.0,neutral
@attagbozo,Mark Why u alone chop all the money?,1 year ago,2,mark why u alone chop all the money,mark alone chop money,0.0,neutral
@GabrielObiabo,Who here to watch TB after Honest bunch podcast,1 year ago,4,who here to watch tb after honest bunch podcast,watch tb honest bunch podcast,0.6,positive
@Tonycantana,Omo this no be comedy o na real life,1 year ago,2,omo this no be comedy o na real life,omo comedy na real life,0.2,positive
@wabsonwabson9358,This is hillarious! 😂😂😂,1 year ago (edited),1,this is hillarious,hillarious,0.0,neutral
@realiable,"Wish denni is back on 2024 .. markoooooooooo please bring him  back , he is goooodoooo n deserve better.. support him back please..",1 year ago,1,wish denni is back on 2024 markoooooooooo please bring him back he is goooodoooo n deserve better support him back please,wish denni back 2024 markoooooooooo please bring back goooodoooo deserve better support back please,0.125,positive
@FrancisCauthen,He's probably not,1 year ago,0,he's probably not,probably,0.0,neutral
@FrancisCauthen,That girl is always up to something,1 year ago,0,that girl is always up to something,girl always something,0.0,neutral
@FrancisCauthen,Well why are you doing back there,1 year ago,0,well why are you doing back there,well back,0.0,neutral
@FrancisCauthen,He's sounds like he's gay,1 year ago,0,he's sounds like he's gay,sounds like gay,0.4166666666666667,positive
@WhollyShadreck-xb2nx,😅😅😅😂😂😂,1 year ago,1,,,0.0,neutral
@KaileeVictorin,Me,1 year ago,2,me,,0.0,neutral
@AaronMwiinga-jl1ew,😂😂😂😂,1 year ago,2,,,0.0,neutral
@mammaman8400,Denison was acting from his pain😂😂,1 year ago,6,denison was acting from his pain,denison acting pain,0.0,neutral
@Mzee_Bughaa,😂😂the line ate,1 year ago,2,the line ate,line ate,0.0,neutral
@Jiggy_CFR, @Mzee_Bughaa  Thank you 😂,1 year ago,1,mzee_bughaa thank you,mzee_bughaa thank,0.0,neutral
@Jiggy_CFR, @mammaman8400  Swears🤣,1 year ago,1,mammaman8400 swears,mammaman8400 swears,0.0,neutral
@Mzee_Bughaa, @Jiggy_CFR  😂😂🗿 welcome,1 year ago,2,jiggy_cfr welcome,jiggy_cfr welcome,0.8,positive
